Category,Cleaned_Resume,Classfied_Job_Title
HR,TECHNICAL SKILLS Typewriting TORA SPSSEducation Details January 2017 MBA Chidambaram Tamil Nadu SNS College Engineering January 2014 HSC SAV Higher Secondary School MBA SNS College Engineering SSLC Finance Kamaraj Matriculation School HR Skill Details Human resource Finance Exprience Less 1 year monthsCompany Details company description,HR
HR,Skills Windows XP Ms Office Word Excel Look ups Pivot table basic functions Power Point Saral Payment Package payroll software Internet ApplicationsEducation Details January 2006 Bachelor Hospitality Management International Hospitality Management Queen Margaret University Edinburg January 2006 diploma Hotel Management International Institute Hotel Management HR Skill Details Hr Management Exprience Less 1 year monthsCompany Details company Atri Developers description HR Payroll Statutory Compliance Performance Management company description Employee Relations Administration Creating industry specific Policies Procedure Forms Formats Letters Checklists etc Payroll Management Salary restructuring process payroll 600 employees Validation input Attendance Leaves Salaries starting salary process Processing accurate error free salary employees Responsible compensation benefits administration Coordinate Accounts team salary processing Attendance Leave record management Assuring prompt satisfactory resolution payroll related queries employees Statutory Compliance Management Manage various statutory compliance requirements PF ESIC PT Gratuity TDS etc calculations deduction payment return filing Generate statutory reports like Form 16 Form 24Q Conducting session employees Statutory Policies procedure compliance related topics Shops Commercial Establishments Act E Payment Gratuity Act 1972 Recruitment Selection Handling recruitment like job posting naukri portal coordination Create annual manpower plan budget Screen schedule preliminary interview Arrange employee orientation Handling joining formalities salary account opening formalities Performance Management End end facilitation PMS starting creating Job Description Appraisal Forms Disbursement Letters KRA setting Mid year reviews Annual reviews handling appraisal activities 360 Degree Training Development Conduct training need analysis arrange various training session Employee engagement Employee Welfare Creation deployment Sales Rewards Recognition Schemes Periodic Interactive sessions like Monthly Birthday Celebration Annual Day Diwali Dhamaka Offsite etc Working Saral Payment Package payroll software well excel Assisting MD HR works offering suggestions answering employee queries payroll compliance related issues benefits insurance medical reimbursement full final settlement resigned employees,HR
HR,Education Details BA mumbai University HR Skill Details Hr Operations Exprience Less 1 year monthsCompany Details company Mumbai Monorail description,HR
HR,Education Details June 2012 May 2015 B Economics Chennai Tamil Nadu Sdnbvc Hr Skill Details Company Details company Anything Solution description Hr,HR
HR,Education Details June 2012 May 2015 B Economics Chennai Tamil Nadu Sdnbvc Hr Skill Details Company Details company Anything Solution description Hr,HR
HR,Education Details BBA lovely professional university HR Skill Details Communication Exprience 6 monthsCompany Details company description,HR
HR,Education Details MBA ACN College engineering mgt HR Skill Details Company Details company HR Assistant description,HR
HR,KEY SKILLS Computerized accounting tally Sincere hard working Management accounting income tax Good communication leadership Two four wheeler driving license Internet Ecommerce management COMPUTER SKILLS C Language Web programing Tally Dbms Education Details June 2017 June 2019 Mba Finance hr India Mlrit June 2014 June 2017 Bcom Computer Hyderabad Telangana Osmania university June 2012 April 2014 Inter MEC India Srimedhav Hr Nani Skill Details accounting Exprience 6 months DATABASE MANAGEMENT SYSTEM Exprience 6 months Dbms Exprience 6 months Management accounting Exprience 6 months Ecommerce Exprience 6 monthsCompany Details company Valuelabs description give RRF form required DLT hand RLT scrum master take form RLT scrum master give forms trainee work requirement till candidate receive offer company,HR
HR,Training Special Education Certificate Course Education Details July 2016 October 2018 Sc Psychology specialization Organizational Behaviour Malappuram Kerala Calicut University July 2013 March 2016 BSc Psychology Thrissur Prajyoti Niketan College HR Skill Details Company Details company description done 30 days internship HR department Foster Hot Breads KINFRA Malappuram Kerala also done 60 days internship Santhwana Institute Counselling Psychotherapy Cochin Kerala Counsellor,HR
HR,Computer Knowledge Proficient basic use MS office Microsoft Dynamics AX software SAIBA softwareEducation Details MBA Distance education Bharathiar University PA College Engineering Technology HSC R V G Hr Sec School SSC G Hr Sec School HR Admin Bharat Skill Details DYNAMICS Exprience 6 months DYNAMICS AX Exprience 6 months MICROSOFT DYNAMICS Exprience 6 months MICROSOFT DYNAMICS AX Exprience 6 months MS OFFICE Exprience 6 monthsCompany Details company Sri Ramesh Gaarment description Tirupur Administration well clients service corporate companies insured knowledge gathered Garments spinning mills FEB 2018 Still Sri Ramesh Gaarment Tirupur HR Activities Attendance maintenance Time cards maintenance Staffs labors individual records maintenance Project Advanced automobile collision avoidance blackbox CAR,HR
