Category,Cleaned_Resume,Predicted_Category
Data Science,Skills Programming Languages Python pandas numpy scipy scikit learn matplotlib Sql Java JavaScript JQuery Machine learning Regression SVM Na Bayes KNN Random Forest Decision Trees Boosting techniques Cluster Analysis Word Embedding Sentiment Analysis Natural Language processing Dimensionality reduction Topic Modelling LDA NMF PCA Neural Nets Database Visualizations Mysql SqlServer Cassandra Hbase ElasticSearch D3 js DC js Plotly kibana matplotlib ggplot Tableau Others Regular Expression HTML CSS Angular 6 Logstash Kafka Python Flask Git Docker computer vision Open CV understanding Deep learning Education Details Data Science Assurance Associate Data Science Assurance Associate Ernst Young LLP Skill Details JAVASCRIPT Exprience 24 months jQuery Exprience 24 months Python Exprience 24 monthsCompany Details company Ernst Young LLP description Fraud Investigations Dispute Services Assurance TECHNOLOGY ASSISTED REVIEW TAR Technology Assisted Review assists accelerating review process run analytics generate reports Core member team helped developing automated review platform tool scratch assisting E discovery domain tool implements predictive coding topic modelling automating reviews resulting reduced labor costs time spent lawyers review Understand end end flow solution research development classification models predictive analysis mining information present text data Worked analyzing outputs precision monitoring entire tool TAR assists predictive coding topic modelling evidence following EY standards Developed classifier models order identify red flags fraud related issues Tools Technologies Python scikit learn tfidf word2vec doc2vec cosine similarity Na Bayes LDA NMF topic modelling Vader text blob sentiment analysis Matplot lib Tableau dashboard reporting MULTIPLE DATA SCIENCE ANALYTIC PROJECTS USA CLIENTS TEXT ANALYTICS MOTOR VEHICLE CUSTOMER REVIEW DATA Received customer feedback survey data past one year Performed sentiment Positive Negative Neutral time series analysis customer comments across 4 categories Created heat map terms survey category based frequency words Extracted Positive Negative words across Survey categories plotted Word cloud Created customized tableau dashboards effective reporting visualizations CHATBOT Developed user friendly chatbot one Products handle simple questions hours operation reservation options chat bot serves entire product related questions Giving overview tool via QA platform also give recommendation responses user question build chain relevant answer intelligence build pipeline questions per user requirement asks relevant recommended questions Tools Technologies Python Natural language processing NLTK spacy topic modelling Sentiment analysis Word Embedding scikit learn JavaScript JQuery SqlServer INFORMATION GOVERNANCE Organizations make informed decisions information store integrated Information Governance portfolio synthesizes intelligence across unstructured data sources facilitates action ensure organizations best positioned counter information risk Scan data multiple sources formats parse different file formats extract Meta data information push results indexing elastic search created customized interactive dashboards using kibana Preforming ROT Analysis data give information data helps identify content either Redundant Outdated Trivial Preforming full text search analysis elastic search predefined methods tag PII personally identifiable information social security numbers addresses names etc frequently targeted cyber attacks Tools Technologies Python Flask Elastic Search Kibana FRAUD ANALYTIC PLATFORM Fraud Analytics investigative platform review red flag cases FAP Fraud Analytics investigative platform inbuilt case manager suite Analytics various ERP systems used clients interrogate Accounting systems identifying anomalies indicators fraud running advanced analytics Tools Technologies HTML JavaScript SqlServer JQuery CSS Bootstrap Node js D3 js DC js,Data Science
Data Science,Education Details May 2013 May 2017 B E UIT RGPV Data Scientist Data Scientist Matelabs Skill Details Python Exprience Less 1 year months Statsmodels Exprience 12 months AWS Exprience Less 1 year months Machine learning Exprience Less 1 year months Sklearn Exprience Less 1 year months Scipy Exprience Less 1 year months Keras Exprience Less 1 year monthsCompany Details company Matelabs description ML Platform business professionals dummies enthusiasts 60 Koramangala 5th block Achievements Tasks behind sukh sagar Bengaluru India Developed deployed auto preprocessing steps machine learning mainly missing value treatment outlier detection encoding scaling feature selection dimensionality reduction Deployed automated classification regression model linkedin com aditya rathore b4600b146 Reasearch deployed time series forecasting model ARIMA SARIMAX Holt winter Prophet Worked meta feature extracting problem github com rathorology Implemented state art research paper outlier detection mixed attributes company Matelabs description,Data Science
Data Science,Areas Interest Deep Learning Control System Design Programming Python Electric Machinery Web Development Analytics Technical Activities q Hindustan Aeronautics Limited Bangalore 4 weeks guidance Mr Satish Senior Engineer hangar Mirage 2000 fighter aircraft Technical Skills Programming Matlab Python Java LabView Python WebFrameWork Django Flask LTSPICE intermediate Languages MIPOWER intermediate Github GitBash Jupyter Notebook Xampp MySQL Basics Python Software Packages Interpreters Anaconda Python2 Python3 Pycharm Java IDE Eclipse Operating Systems Windows Ubuntu Debian Kali Linux Education Details January 2019 B Tech Electrical Electronics Engineering Manipal Institute Technology January 2015 DEEKSHA CENTER January 2013 Little Flower Public School August 2000 Manipal Academy Higher DATA SCIENCE DATA SCIENCE ELECTRICAL ENTHUSIAST Skill Details Data Analysis Exprience Less 1 year months excel Exprience Less 1 year months Machine Learning Exprience Less 1 year months mathematics Exprience Less 1 year months Python Exprience Less 1 year months Matlab Exprience Less 1 year months Electrical Engineering Exprience Less 1 year months Sql Exprience Less 1 year monthsCompany Details company THEMATHCOMPANY description currently working Casino based operator name disclosed Macau need segment customers visit property based value patrons bring company Basically prove segmentation done much better way current system proper numbers back Henceforth implement target marketing strategy attract customers add value business,Data Science
Data Science,Skills R Python SAP HANA Tableau SAP HANA SQL SAP HANA PAL MS SQL SAP Lumira C Linear Programming Data Modelling Advance Analytics SCM Analytics Retail Analytics Social Media Analytics NLP Education Details January 2017 January 2018 PGDM Business Analytics Great Lakes Institute Management Illinois Institute Technology January 2013 Bachelor Engineering Electronics Communication Bengaluru Karnataka New Horizon College Engineering Bangalore Visvesvaraya Technological University Data Science Consultant Consultant Deloitte USI Skill Details LINEAR PROGRAMMING Exprience 6 months RETAIL Exprience 6 months RETAIL MARKETING Exprience 6 months SCM Exprience 6 months SQL Exprience Less 1 year months Deep Learning Exprience Less 1 year months Machine learning Exprience Less 1 year months Python Exprience Less 1 year months R Exprience Less 1 year monthsCompany Details company Deloitte USI description project involved analysing historic deals coming insights optimize future deals Role given raw data carried end end analysis presented insights client Key Responsibilities Extract data client systems across geographies Understand build reports tableau Infer meaningful insights optimize prices find process blockades Technical Environment R Tableau Industry Cross Industry Service Area Cross Industry Products Project Name Handwriting recognition Consultant 3 months project involved taking handwritten images converting digital text images object detection sentence creation Role developing sentence correction functionality Key Responsibilities Gather data large enough capture English words Train LSTM models words Technical Environment Python Industry Finance Service Area Financial Services BI development Project Name SWIFT Consultant 8 months project develop analytics infrastructure top SAP 4 would user view financial reports respective departments Reporting also included forecasting expenses Role leading offshore team Key Responsibilities Design Develop data models reporting Develop ETL data flow Validate various reports Technical Environment SAP HANA Tableau SAP AO Industry Healthcare Analytics Service Area Life Sciences Product development Project Name Clinical Healthcare System Consultant 2 months project develop analytics infrastructure top Argus would allow users query faster provide advance analytics capabilities Role involved design deploy phase performed lot data restructuring built models insights Key Responsibilities Design Develop data models reporting Develop deploy analytical models Validate various reports Technical Environment Data Modelling SAP HANA Tableau NLP Industry FMCG Service Area Trade Promotion Project Name Consumption Based Planning Flowers Foods Consultant 8 months project involved setting CRM CBP modules Role involved key data decomposition activities setting base future year forecast course project developed various models carried key performance improvements Key Responsibilities Design Develop HANA models decomposition Develop data flow forecast Developed various views reporting Customer Sales Funds Validate various reports BOBJ Technical Environment Data Modelling SAP HANA BOBJ Time Series Forecasting Internal Initiative Industry FMCG Customer Segmentation RFM analysis Consultant 3 months initiative involved setting HANA Python interface advance analytics Python course successfully segmented data five core segments using K means carried RFM analysis Python Also developed algorithm categorize new customer defined buckets Technical Environment Anaconda3 Python3 6 HANA SPS12 Industry Telecom Invoice state detection Consultant 1 months initiative reduce manual effort verifying closed open invoices manually involved development decision tree classify open closed invoices enabled effort reduction 60 Technical Environment R SAP PAL SAP HANA SPS12 Accenture Experience Industry Analytics Cross Industry Process Analytics SAP Senior Developer 19 months Accenture Solutions Pvt Ltd India project involved development SAP analytics tool Process Analytics IPA role develop database objects data models provide operational insights clients Role developed various Finance related KPIs spearheaded various deployments Introduced SAP Predictive analytics reduce development time reuse functionalities KPIs prepared production planning reports Key Responsibilities Involved information gather phase Designed implemented SAP HANA data modelling using Attribute View Analytic View Calculation View Developed various KPI individually using complex SQL scripts Calculation views Created procedures HANA Database Took ownership developed Dashboard functionality Involved building data processing algorithms executed R server cluster analysis Technical Environment R SAP HANA SQL Industry Cross Industry Accenture Testing Accelerator SAP Database Developer 21 months Accenture Solutions Pvt Ltd India Role taken care development activities ATAS tool also completed various deployments product Apart activities also actively involved maintenance database servers Production Quality Key Responsibilities Analyzing business requirements understanding scope getting requirements clarified interacting business transform requirements generate attribute mapping documents reviewing mapping specification documentation Create Update database objects like tables views stored procedures function packages Monitored SQL Server Error Logs Application Logs SQL Server Agent Prepared Data Flow Diagrams Entity Relationship Diagrams using UML Responsible Designing developing Normalization database tables Experience performance tuning using SQL profiler Involved QA UAT knowledge transfer support activities Technical Environment SQL Server 2008 2014 Visual Studio 2010 Windows Server Performance Monitor SQL Server Profiler C PL SQL SQL,Data Science
Data Science,Education Details MCA YMCAUST Faridabad Haryana Data Science internship Skill Details Data Structure Exprience Less 1 year months C Exprience Less 1 year months Data Analysis Exprience Less 1 year months Python Exprience Less 1 year months Core Java Exprience Less 1 year months Database Management Exprience Less 1 year monthsCompany Details company Itechpower description,Data Science
Data Science,SKILLS C Basics IOT Python MATLAB Data Science Machine Learning HTML Microsoft Word Microsoft Excel Microsoft Powerpoint RECOGNITION Academic Secured First place B Tech Education Details August 2014 May 2018 B Tech Ghatkesar Andhra Pradesh Aurora Scientific Technological Institute June 2012 May 2014 Secondary Education Warangal Telangana SR Junior College Data Science Skill Details MS OFFICE Exprience Less 1 year months C Exprience Less 1 year months machine learning Exprience Less 1 year months data science Exprience Less 1 year months Matlab Exprience Less 1 year monthsCompany Details company description,Data Science
Data Science,Skills Python Tableau Data Visualization R Studio Machine Learning Statistics IABAC Certified Data Scientist versatile experience 1 years managing business data science consulting leading innovation projects bringing business ideas working real world solutions strong advocator augmented era human capabilities enhanced machines Fahed passionate bringing business concepts area machine learning AI robotics etc real life solutions Education Details January 2017 B Tech Computer Science Engineering Mohali Punjab Indo Global College Engineering Data Science Consultant Data Science Consultant Datamites Skill Details MACHINE LEARNING Exprience 13 months PYTHON Exprience 24 months SOLUTIONS Exprience 24 months DATA SCIENCE Exprience 24 months DATA VISUALIZATION Exprience 24 months Tableau Exprience 24 monthsCompany Details company Datamites description Analyzed processed complex data sets using advanced querying visualization analytics tools Responsible loading extracting validation client data Worked manipulating cleaning processing data using python Used Tableau data visualization company Heretic Solutions Pvt Ltd description Worked closely business identify issues used data propose solutions effective decision making Manipulating cleansing processing data using Python Excel R Analyzed raw data drawing conclusions developing recommendations Used machine learning tools statistical techniques produce solutions problems,Data Science
Data Science,Education Details B Tech Rayat Bahra Institute Engineering Biotechnology Data Science Data Science Skill Details Numpy Exprience Less 1 year months Machine Learning Exprience Less 1 year months Tensorflow Exprience Less 1 year months Scikit Exprience Less 1 year months Python Exprience Less 1 year months GCP Exprience Less 1 year months Pandas Exprience Less 1 year months Neural Network Exprience Less 1 year monthsCompany Details company Wipro description Bhawana Aggarwal E Mail bhawana chd gmail com Phone 09876971076 VVersatile high energy professional targeting challenging assignments Machine PROFILE SUMMARY professional knowledge experience 2 years Wipro Technologies Machine Learning Deep Learning Data Science Python Software Development Skilled managing end end development software products projects inception requirement specs planning designing implementation configuration documentation Knowledge Python Machine Learning Deep Learning data Science Algorithms Neural Network NLP GCP Knowledge Python Libraries like Numpy Pandas Seaborn Matplotlib Cufflinks Knowledge different algorithms Machine learning like KNN Decision Tree Bias variance Trade Support vector Machine SVM Logistic Regression Neural networks knowledge unsupervised Supervised reinforcement data Programming experience relational platforms like MySQL Oracle knowledge programming language like C Java Experience cloud based environment like Google Cloud Working different Operating System like Linux Ubuntu Windows Good interpersonal communication skills Problem solving skills ability think laterally think medium term long term perspective Flexibility open attitude change Ability create define frameworks strong emphasis code reusability TECHNICAL SKILLS Programming Languages Python C Libraries Seaborn Numpy Pandas Cufflinks Matplotlib Algorithms KNN Decision Tree Linear regression Logistic Regression Neural Networks K means clustering Tensorflow SVM Databases SQL Oracle Operating Systems Linux Window Development Environments NetBeans Notebooks Sublime Ticketing tools Service Remedy Education UG Education B Tech Computer Science Rayat Bahra Institute Engineering Biotechnology passed 78 4 2016 Schooling XII 2012 Moti Ram Arya Sr Secondary School Passed 78 4 X 2010 Valley Public School Passed 9 4 CGPA WORK EXPERINCE Title Wipro Neural Intelligence Platform Team Size 5 Brief Wipro Neural Intelligence Platform harnesses power automation artificial intelligence technologies natural language processing NLP cognitive machine learning analytics platform comprises three layers data engagement platform easily access manage multiple structured unstructured data sources intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense act learn time project entailed automating responses user queries earliest Monster Bot using power Deep Machine Learning NLP handle queries User see queries answered quickly like allL1 activities eliminated Entity Extractor involves text extraction NLP fetching important information text like dates names places contact numbers etc involves Regex Bluemix NLU api machine learning using Tensor flow learning new entities Classifier involves classifications classes training dataset predicting output using SKLearn classifier MNB SVM SGD Classifier SGD optimization map user queries best suited response make system efficient NER Deep Learning NER Model trained extract entities text Entities like Roles Skills Organizations extracted raw text RNN LSTM Bidirectional model trained extracting entities using Keras TensorFlow framework PROJECTS Title Diabetes Detection Brief Developed software detect whether person suffering Diabetes got third prize TRAINING CERTIFICATIONS Title Python Training Machine Learning Data Science Deep Learning Organization Udemy Coursera Machine Learning Deep Learning Personal Profile Father Name Mr Tirlok Aggarwal Language Known English Hindi Marital Status Single Date Birth Gender 1993 12 20 YYYY MM DD F company Wipro description Developing programs Python company Wipro description Title Wipro Neural Intelligence Platform Team Size 5 Brief Wipro Neural Intelligence Platform harnesses power automation artificial intelligence technologies natural language processing NLP cognitive machine learning analytics platform comprises three layers data engagement platform easily access manage multiple structured unstructured data sources intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense act learn time project entailed automating responses user queries earliest Monster Bot using power Deep Machine Learning NLP handle queries User see queries answered quickly like allL1 activities eliminated Entity Extractor involves text extraction NLP fetching important information text like dates names places contact numbers etc involves Regex Bluemix NLU api machine learning using Tensor flow learning new entities Classifier involves classifications classes training dataset predicting output using SKLearn classifier MNB SVM SGD Classifier SGD optimization map user queries best suited response make system efficient NER Deep Learning NER Model trained extract entities text Entities like Roles Skills Organizations extracted raw text RNN LSTM Bidirectional model trained extracting entities using Keras TensorFlow framework company Wipro Technologies description professional knowledge experience 2 years Wipro Technologies Machine Learning Deep Learning Data Science Python Software Development Skilled managing end end development software products projects inception requirement specs planning designing implementation configuration documentation Knowledge Python Machine Learning Deep Learning data Science Algorithms Neural Network NLP GCP Knowledge Python Libraries like Numpy Pandas Seaborn Matplotlib Cufflinks Knowledge different algorithms Machine learning like KNN Decision Tree Bias variance Trade Support vector Machine SVM Logistic Regression Neural networks knowledge unsupervised Supervised reinforcement data Programming experience relational platforms like MySQL Oracle knowledge programming language like C Java Experience cloud based environment like Google Cloud Working different Operating System like Linux Ubuntu Windows Good interpersonal communication skills Problem solving skills ability think laterally think medium term long term perspective Flexibility open attitude change Ability create define frameworks strong emphasis code reusability,Data Science
Data Science,Personal Skills Ability quickly grasp technical aspects willingness learn High energy levels Result oriented Education Details January 2018 Master Engineering Computer Technology Application Bhopal Madhya Pradesh Truba Institute Engineering Information Technology January 2010 B E computer science Bhopal Madhya Pradesh RKDF Institute Science Technology College Engineering January 2006 Polytechnic Information Technology Vidisha Madhya Pradesh SATI Engineering College Vidisha January 2003 tech Thesis Detail BMCH School Ganj basoda Data science six month experience Data Science Key Skills Experience Machine Learning Deep Leaning NLP Python SQL Web Scraping Good knowledge computer subjects ability update Skill Details Experience Machine Learning Deep Learning NLP Python SQL Web Crawling HTML CSS Exprience Less 1 year monthsCompany Details company RNT AI Technology Solution description Text classification using Machine learning Algorithms python Practical knowledge Deep learning algorithms Recurrent Neural Networks RNN Develop custom data models algorithms apply dataset Experience Python packages like Pandas Scikit learn Tensor Flow Numpy Matplotliv NLTK Comfort SQL MYSQL Sentiment analysis Apply leave Dataset using classification technique like Tf idf LSA cosine similarity using Machine learning Algorithms Web crawling using Selenium web driver Beautiful Soup python company Life Insurance Corporation India Bhopal description Explaining policy features benefits Updated knowledge life insurance products shared customers,Data Science
Data Science,Expertise Data Quantitative Analysis Decision Analytics Predictive Modeling Data Driven Personalization KPI Dashboards Big Data Queries Interpretation Data Mining Visualization Tools Machine Learning Algorithms Business Intelligence BI Research Reports Forecasts Education Details PGP Data Science Mumbai Maharashtra Aegis School data science Business B E Electronics Communication Electronics Communication Indore Madhya Pradesh IES IPS Academy Data Scientist Data Scientist PR Canada Skill Details Algorithms Exprience 6 months BI Exprience 6 months Business Intelligence Exprience 6 months Machine Learning Exprience 24 months Visualization Exprience 24 months spark Exprience 24 months python Exprience 36 months tableau Exprience 36 months Data Analysis Exprience 24 monthsCompany Details company Aegis school Data Science Business description Mostly working industry project providing solution along Teaching Appointments Teach undergraduate graduate level courses Spark Machine Learning adjunct faculty member Aegis School Data Science Mumbai 2017 Present company Aegis school Data Business description Data Science Intern Nov 2015 Jan 2016 Furnish executive leadership team insights analytics reports recommendations enabling effective strategic planning across business units distribution channels product lines Chat Bot using AWS LEX Tensor flow Python goal project creates chat bot academic institution university handle queries related courses offered institute objective task reduce human efforts well reduce man made errors Even companies handle client 24x7 case companies academic institutions clients participants students Web scraping using Selenium web driver Python task scrap data online messaging portal text format find pattern form Data Visualization Data insights Hadoop Eco System Hive PySpark QlikSense goal project build Business Solutions Internet Service Provider Company like handling data generated per day basis visualize data find usage pattern form generate reports Image Based Fraud Detection Microsoft Face API PySpark Open CV main goal project Recognize similarity face given Database images Face recognition recognizing special face set different faces Face extracted compared database Image Image recognized person already applied loan somewhere else hiding identity going prevent frauds initial stage Churn Analysis Internet Service Provider R Python Machine Learning Hadoop objective identify customer likely churn given period time pretend customer giving incentive offers Sentiment Analysis Python NLP Apache Spark service IBM Bluemix project highly emphasis tweets Twitter data taken mobile networks service provider sentiment analysis analyze whether expressed opinion positive negative neutral capture emotions tweets comparative analysis Quantifiable Results Mentored 7 12 Data Science Enthusiast year since gone graduate school Data Science Business Analytics Reviewed evaluated 20 40 Research Papers Data Science one largest Data Science Conference called Data Science Congress Aegis School Business Mumbai Heading solution providing organization called Data Science Delivered Aegis school Data Science Mumbai managed 4 5 live projects using Data Science techniques Working social cause help Data Science Social Goods Committee team developed product called Let find missing Child helping society company IBM India pvt ltd description Mostly worked blumix IBM Watson Data science,Data Science
